caldt,b30ret,b20ret,b10ret,b7ret,b5ret,b2ret,b1ret,t90ret,t30ret,cpiret
12/31/2001,0.033705,0.040867,0.040302,0.076023,0.082663,0.086428,0.074351,0.044809,0.037786,0.015517
12/31/2002,0.163857,0.172186,0.146641,0.149588,0.131414,0.067811,0.034147,0.017951,0.016339,0.023769
12/31/2003,0.006738,0.024512,0.012763,0.026151,0.028316,0.019835,0.014680,0.011604,0.010182,0.018794
12/31/2004,0.087015,0.082811,0.051849,0.040793,0.023355,0.007544,0.006780,0.013080,0.012005,0.032557
12/30/2005,0.089353,0.076566,0.031030,0.017948,0.006416,0.015241,0.022705,0.030790,0.029633,0.034156
12/29/2006,-0.012106,0.011352,0.022713,0.027242,0.027717,0.038851,0.041550,0.048354,0.047855,0.025408
12/31/2007,0.102542,0.097353,0.096431,0.110206,0.101754,0.077046,0.059550,0.050863,0.046747,0.040814
12/31/2008,0.414301,0.256047,0.176664,0.182258,0.131459,0.071409,0.046384,0.020446,0.014742,0.000915
12/31/2009,-0.259603,-0.139910,-0.058280,-0.044154,-0.024693,0.009221,0.005438,0.002232,0.000966,0.027213
12/31/2010,0.086565,0.097715,0.074454,0.078690,0.060456,0.024355,0.005810,0.001286,0.001216,0.014957
12/30/2011,0.352856,0.269934,0.166016,0.129676,0.089274,0.017079,0.003515,0.000990,0.000428,0.029621
12/31/2012,0.022774,0.038802,0.035862,0.035479,0.024179,0.004537,0.001726,0.001079,0.000565,0.017411
12/31/2013,-0.152130,-0.122309,-0.069025,-0.045814,-0.023583,0.003635,0.003387,0.000817,0.000277,0.015018
12/31/2014,0.299393,0.246151,0.101507,0.063066,0.037733,0.006980,0.002411,0.000498,0.000164,0.007566
12/31/2015,-0.031879,-0.006745,0.010663,0.016727,0.018853,0.006272,0.001574,0.000611,0.000092,0.007295
12/30/2016,0.006299,0.013835,0.007039,0.010183,0.012927,0.008037,0.007678,0.003544,0.001886,0.020746
12/29/2017,0.095452,0.063598,0.028034,0.020527,0.012505,0.003562,0.005759,0.008854,0.007914,0.021091
12/31/2018,-0.026023,-0.005353,0.000527,0.010949,0.015308,0.016015,0.019134,0.018767,0.017066,0.019103
12/31/2019,0.159880,0.120855,0.081605,0.070413,0.062899,0.036031,0.028841,0.022608,0.021470,0.022850
12/31/2020,0.187221,0.151877,0.099656,0.094176,0.073770,0.033445,0.018909,0.006920,0.004270,0.013621
12/31/2021,-0.044572,-0.050773,-0.030717,-0.031290,-0.025320,-0.006488,-0.001605,0.000665,0.000402,0.070364
